Game,Goals,TOI,Shots,Shoot Pct,EV Goals,EV TOI,EV Shots,EV Shoot Pct,PP Goals,PP TOI,PP Shots,PP Shoot Pct
201780,1,1016,5,0.2,0,819,4,0,1,141,1,1
201781,1,1314,4,0.25,0,893,2,0,1,284,2,0.5
201782,2,1260,8,0.25,2,1036,6,0.3333333333,0,224,2,0
201801,1,987,5,0.2,0,723,3,0,1,264,2,0.5
201802,1,1207,3,0.3333333333,1,978,2,0.5,0,229,1,0
201803,2,1079,7,0.2857142857,2,714,5,0.4,0,359,2,0
201804,0,1437,2,0,0,1065,1,0,0,372,1,0
201805,0,1294,2,0,0,1059,1,0,0,235,1,0
201806,2,1408,6,0.3333333333,0,1016,2,0,2,392,4,0.5
201807,0,1370,2,0,0,1095,1,0,0,256,1,0
201808,2,1056,7,0.2857142857,1,718,3,0.3333333333,1,338,4,0.25
201809,0,1007,3,0,0,960,3,0,0,47,0,
201810,0,1185,2,0,0,1020,1,0,0,165,1,0
201811,2,1115,4,0.5,2,1004,4,0.5,0,111,0,
201812,0,1468,4,0,0,1150,3,0,0,318,1,0
201813,1,1192,3,0.3333333333,0,1027,2,0,1,165,1,1
201814,1,1472,3,0.3333333333,0,832,0,,1,640,3,0.3333333333
201815,0,1399,2,0,0,945,2,0,0,454,0,
201816,0,1285,2,0,0,1091,2,0,0,194,0,
201817,0,1011,2,0,0,791,1,0,0,220,1,0
201818,0,1461,9,0,0,1129,3,0,0,332,6,0
201819,1,1435,7,0.1428571429,1,1116,4,0.25,0,319,3,0
201820,2,1313,5,0.4,1,1163,4,0.25,1,150,1,1
201821,0,1341,2,0,0,1118,2,0,0,223,0,
201822,1,1320,3,0.3333333333,1,1014,2,0.5,0,306,1,0
201823,1,1270,2,0.5,1,1076,2,0.5,0,194,0,
201824,1,1160,3,0.3333333333,1,1020,1,1,0,137,2,0
201825,1,1289,4,0.25,1,980,3,0.3333333333,0,309,1,0
201826,0,1453,6,0,0,1045,3,0,0,408,3,0
201827,1,1317,3,0.3333333333,1,795,3,0.3333333333,0,522,0,
201828,1,1068,4,0.25,1,990,4,0.25,0,78,0,
201829,1,1207,5,0.2,1,878,4,0.25,0,329,1,0
201830,3,1178,4,0.75,3,1053,3,1,0,125,1,0
201831,3,1270,5,0.6,2,1178,4,0.5,1,92,1,1
201832,1,1534,8,0.125,1,1090,5,0.2,0,444,3,0
201833,0,1514,5,0,0,1032,4,0,0,482,1,0
201834,0,1221,1,0,0,780,1,0,0,441,0,
201835,0,1220,6,0,0,976,3,0,0,244,3,0
201836,0,1268,4,0,0,875,2,0,0,393,2,0
201837,0,1138,2,0,0,1138,2,0,0,0,0,
201838,0,1264,4,0,0,1144,2,0,0,120,2,0
201839,1,1172,3,0.3333333333,1,850,2,0.5,0,322,1,0
201840,0,1333,6,0,0,998,1,0,0,335,5,0
201841,0,1257,4,0,0,877,4,0,0,380,0,
201842,0,1350,5,0,0,944,4,0,0,404,1,0
201843,2,1258,5,0.4,2,1082,4,0.5,0,176,1,0
201844,0,1276,2,0,0,1213,2,0,0,63,0,
201845,1,1283,3,0.3333333333,0,1018,2,0,1,265,1,1
201846,0,1137,4,0,0,963,3,0,0,174,1,0
201847,0,1188,3,0,0,963,2,0,0,225,1,0
201848,0,1176,2,0,0,976,1,0,0,200,1,0
201849,3,1228,5,0.6,2,1061,4,0.5,1,167,1,1
201850,1,1199,3,0.3333333333,1,1081,3,0.3333333333,0,118,0,
201851,0,1457,3,0,0,1183,3,0,0,267,0,
201852,0,1107,3,0,0,1023,1,0,0,84,2,0
201853,0,1522,7,0,0,842,3,0,0,680,4,0
201854,0,1141,2,0,0,1030,2,0,0,111,0,
201855,1,981,8,0.125,0,596,2,0,1,385,6,0.1666666667
201856,0,1268,2,0,0,1180,2,0,0,88,0,
201857,1,1118,4,0.25,1,787,3,0.3333333333,0,331,1,0
201858,1,1348,7,0.1428571429,1,998,4,0.25,0,350,3,0
201859,2,1131,3,0.6666666667,0,1028,1,0,2,103,2,1
201860,1,1101,3,0.3333333333,0,866,2,0,1,235,1,1
201861,1,1340,8,0.125,1,1106,7,0.1428571429,0,234,1,0
201862,0,1196,3,0,0,877,3,0,0,319,0,
201863,0,962,6,0,0,924,6,0,0,38,0,
201864,1,1199,5,0.2,0,1118,4,0,1,81,1,1
201865,0,1415,6,0,0,996,2,0,0,419,4,0
201866,1,1151,1,1,0,897,0,,1,254,1,1
201867,0,1234,5,0,0,842,3,0,0,392,2,0
201868,0,1152,1,0,0,942,1,0,0,210,0,
201869,0,1141,5,0,0,972,2,0,0,169,3,0
201870,0,985,5,0,0,724,2,0,0,261,3,0
201871,2,1557,7,0.2857142857,1,1135,4,0.25,1,422,3,0.3333333333
201872,0,1106,0,,0,1006,0,,0,100,0,
201873,0,1654,11,0,0,962,6,0,0,692,5,0
201874,0,1362,1,0,0,1010,1,0,0,352,0,
201875,0,1249,6,0,0,1032,4,0,0,217,2,0
201876,1,1248,5,0.2,1,1037,4,0.25,0,211,1,0
201877,0,1330,4,0,0,1210,4,0,0,120,0,
201878,2,1348,8,0.25,1,862,4,0.25,1,486,4,0.25
201879,0,1362,6,0,0,1122,6,0,0,240,0,
201880,0,1080,5,0,0,960,5,0,0,120,0,
201881,0,1362,2,0,0,1128,2,0,0,234,0,
201901,1,1430,5,0.2,1,1113,5,0.2,0,317,0,
201902,0,1208,2,0,0,1081,2,0,0,127,0,
201903,0,1373,7,0,0,730,4,0,0,643,2,0
201904,0,1423,6,0,0,967,4,0,0,456,2,0
201905,2,1185,2,1,0,991,0,,2,194,2,1
201906,1,1031,2,0.5,1,794,1,1,0,231,0,
201907,1,1302,6,0.1666666667,1,1127,4,0.25,0,175,0,
201908,0,1301,2,0,0,951,2,0,0,350,0,
201909,0,1280,8,0,0,1014,7,0,0,266,1,0
201910,1,1044,5,0.2,1,1036,5,0.2,0,8,0,
201911,1,1180,5,0.2,1,835,2,0.5,0,345,3,0
201912,2,1359,9,0.2222222222,1,1178,6,0.1666666667,1,181,3,0.3333333333
201913,0,1250,1,0,0,1012,1,0,0,238,0,
201914,2,1553,10,0.2,1,801,3,0.3333333333,1,752,7,0.1428571429
201915,0,1092,2,0,0,996,2,0,0,96,0,
